TITLE="Euler"
 VARIABLES="x","y","rho","exact","error"
ZONE I=         100 J=         100 F=POINT
0.000000000000000000e+00 0.000000000000000000e+00 1.002931568571823195e+00 9.999999906369779756e-01 3.123524839044948889e-03
0.000000000000000000e+00 5.050505050505050414e-02 1.000848924287561115e+00 9.999999873551798091e-01 9.045216105488365676e-04
0.000000000000000000e+00 1.010101010101010083e-01 1.000332188948339196e+00 9.999999830099873810e-01 3.539573305510347449e-04
0.000000000000000000e+00 1.515151515151515194e-01 1.000200726719675526e+00 9.999999772878011006e-01 2.138936268522008096e-04
0.000000000000000000e+00 2.020202020202020166e-01 9.999817051287909209e-01 9.999999697928954046e-01 1.946055444375541330e-05
0.000000000000000000e+00 2.525252525252525415e-01 9.995498610728243971e-01 9.999999600291430424e-01 4.795694678209958114e-04
0.000000000000000000e+00 3.030303030303030387e-01 9.989398248306835537e-01 9.999999473786174153e-01 1.129534736751887109e-03
0.000000000000000000e+00 3.535353535353535359e-01 9.982511847974586683e-01 9.999999310767915262e-01 1.863246538923077214e-03
0.000000000000000000e+00 4.040404040404040331e-01 9.975941218533322941e-01 9.999999101841143823e-01 2.563308830839282609e-03
0.000000000000000000e+00 4.545454545454545303e-01 9.970572641758084220e-01 9.999998835538149722e-01 3.135289227623327176e-03
0.000000000000000000e+00 5.050505050505050830e-01 9.966928473747149742e-01 9.999998497958926258e-01 3.523530479115696314e-03
0.000000000000000000e+00 5.555555555555555802e-01 9.965156134155414014e-01 9.999998072373939006e-01 3.712323597898081317e-03
0.000000000000000000e+00 6.060606060606060774e-01 9.965103311678444875e-01 9.999997538792629870e-01 3.717894852288385499e-03
0.000000000000000000e+00 6.565656565656565746e-01 9.966425436205994526e-01 9.999996873502682293e-01 3.576954821232841523e-03
0.000000000000000000e+00 7.070707070707070718e-01 9.968685903216207844e-01 9.999996048587677100e-01 3.336019677984647120e-03
0.000000000000000000e+00 7.575757575757575690e-01 9.971430387264688111e-01 9.999995031433869253e-01 3.043493216414473127e-03
0.000000000000000000e+00 8.080808080808080662e-01 9.974233333808784074e-01 9.999993784240042149e-01 2.744713208222077788e-03
